stem,course_id,semester,crn,source_file,chunk_size_setting,overlap_setting,input_tokens,chunk_count,avg_chunk_tokens,min_chunk_tokens,max_chunk_tokens,status,error,processed_at
202611_CSCE_608_600_46648_v010,CSCE_608,202611,46648,202611_CSCE_608_600_46648_v010.md,200,50,1014,5,242,212,261,ok,,2026-03-26T07:25:31+00:00
202611_CSCE_611_600_50668_v010,CSCE_611,202611,50668,202611_CSCE_611_600_50668_v010.md,200,50,2956,15,241,133,281,ok,,2026-03-26T07:25:31+00:00
202611_CSCE_612_600_42640_v010,CSCE_612,202611,42640,202611_CSCE_612_600_42640_v010.md,200,50,1384,7,242,190,284,ok,,2026-03-26T07:25:31+00:00
202611_CSCE_614_600_42743_v010,CSCE_614,202611,42743,202611_CSCE_614_600_42743_v010.md,200,50,1814,9,243,181,306,ok,,2026-03-26T07:25:31+00:00
202611_CSCE_624_600_58435_v010,CSCE_624,202611,58435,202611_CSCE_624_600_58435_v010.md,200,50,1740,9,237,192,250,ok,,2026-03-26T07:25:31+00:00
202611_CSCE_629_600_54978_v010,CSCE_629,202611,54978,202611_CSCE_629_600_54978_v010.md,200,50,1085,6,224,186,249,ok,,2026-03-26T07:25:31+00:00
202611_CSCE_632_600_54784_v010,CSCE_632,202611,54784,202611_CSCE_632_600_54784_v010.md,200,50,4340,22,246,76,275,ok,,2026-03-26T07:25:31+00:00
202611_CSCE_633_601_58706_v010,CSCE_633,202611,58706,202611_CSCE_633_601_58706_v010.md,200,50,1352,7,236,183,261,ok,,2026-03-26T07:25:31+00:00
202611_CSCE_635_600_46646_v010,CSCE_635,202611,46646,202611_CSCE_635_600_46646_v010.md,200,50,1461,8,223,198,240,ok,,2026-03-26T07:25:31+00:00
202611_CSCE_638_600_54988_v006,CSCE_638,202611,54988,202611_CSCE_638_600_54988_v006.md,200,50,949,5,232,205,253,ok,,2026-03-26T07:25:31+00:00
202611_CSCE_638_600_54988_v010,CSCE_638,202611,54988,202611_CSCE_638_600_54988_v010.md,200,50,857,5,215,184,238,ok,,2026-03-26T07:25:31+00:00
202611_CSCE_641_600_58437_v010,CSCE_641,202611,58437,202611_CSCE_641_600_58437_v010.md,200,50,1483,8,228,190,256,ok,,2026-03-26T07:25:31+00:00
202611_CSCE_648_600_60319_v010,CSCE_648,202611,60319,202611_CSCE_648_600_60319_v010.md,200,50,2802,14,246,167,266,ok,,2026-03-26T07:25:31+00:00
202611_CSCE_652_600_34516_v010,CSCE_652,202611,34516,202611_CSCE_652_600_34516_v010.md,200,50,1127,6,234,196,256,ok,,2026-03-26T07:25:31+00:00
202611_CSCE_656_600_42432_v010,CSCE_656,202611,42432,202611_CSCE_656_600_42432_v010.md,200,50,962,5,231,202,249,ok,,2026-03-26T07:25:31+00:00
202611_CSCE_665_600_30874_v010,CSCE_665,202611,30874,202611_CSCE_665_600_30874_v010.md,200,50,940,5,222,195,239,ok,,2026-03-26T07:25:31+00:00
202611_CSCE_669_600_58438_v010,CSCE_669,202611,58438,202611_CSCE_669_600_58438_v010.md,200,50,1169,6,231,196,255,ok,,2026-03-26T07:25:31+00:00
202611_CSCE_670_600_46627_v006,CSCE_670,202611,46627,202611_CSCE_670_600_46627_v006.md,200,50,1661,9,227,170,250,ok,,2026-03-26T07:25:31+00:00
202611_CSCE_670_600_46627_v010,CSCE_670,202611,46627,202611_CSCE_670_600_46627_v010.md,200,50,1569,8,237,159,260,ok,,2026-03-26T07:25:31+00:00
202611_CSCE_672_600_58439_v010,CSCE_672,202611,58439,202611_CSCE_672_600_58439_v010.md,200,50,928,5,223,197,246,ok,,2026-03-26T07:25:31+00:00
202611_CSCE_676_600_58440_v010,CSCE_676,202611,58440,202611_CSCE_676_600_58440_v010.md,200,50,1610,8,241,210,255,ok,,2026-03-26T07:25:31+00:00
202611_CSCE_679_600_55144_v010,CSCE_679,202611,55144,202611_CSCE_679_600_55144_v010.md,200,50,1739,9,239,201,272,ok,,2026-03-26T07:25:31+00:00
202611_CSCE_681_600_12644_v010,CSCE_681,202611,12644,202611_CSCE_681_600_12644_v010.md,200,50,2082,11,229,147,250,ok,,2026-03-26T07:25:31+00:00
202611_CSCE_713_600_58633_v010,CSCE_713,202611,58633,202611_CSCE_713_600_58633_v010.md,200,50,2190,11,253,203,314,ok,,2026-03-26T07:25:31+00:00
202611_CSCE_726_600_58445_v010,CSCE_726,202611,58445,202611_CSCE_726_600_58445_v010.md,200,50,2067,10,253,167,285,ok,,2026-03-26T07:25:31+00:00
202611_CSCE_748_600_46626_v010,CSCE_748,202611,46626,202611_CSCE_748_600_46626_v010.md,200,50,1320,7,230,144,264,ok,,2026-03-26T07:25:31+00:00
202611_CSCE_752_600_58432_v010,CSCE_752,202611,58432,202611_CSCE_752_600_58432_v010.md,200,50,2965,15,240,154,262,ok,,2026-03-26T07:25:31+00:00
