version,file,input_file,output_file,course_id,section,crn,chunk_count,chunk_size_setting,overlap_setting,input_tokens,avg_chunk_tokens,llm_status,llm_error,processed_at,status
v006,202541_CSCE_605_600_62077_v006.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202541_CSCE_605_600_62077_v006.md"", ""202541_CSCE_605_600_62077_v006.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202541_CSCE_605_600_62077_v006.json"", ""202541_CSCE_605_600_62077_v006.json"")",CSCE 605,600,62077,12,600,100,7179,692,ok,,2026-03-10T05:58:16.801218,ok
v006,202541_ISEN_620_601_52745_v006.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202541_ISEN_620_601_52745_v006.md"", ""202541_ISEN_620_601_52745_v006.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202541_ISEN_620_601_52745_v006.json"", ""202541_ISEN_620_601_52745_v006.json"")",ISEN 620,601,52745,9,600,100,5435,702,ok,,2026-03-10T05:58:17.207548,ok
v006,202611_ISEN_637_600_59851_v006.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202611_ISEN_637_600_59851_v006.md"", ""202611_ISEN_637_600_59851_v006.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_ISEN_637_600_59851_v006.json"", ""202611_ISEN_637_600_59851_v006.json"")",ISEN 637,600,59851,1,600,100,586,593,ok,,2026-03-10T05:58:17.543767,ok
v006,202611_CSCE_638_600_54988_v006.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202611_CSCE_638_600_54988_v006.md"", ""202611_CSCE_638_600_54988_v006.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_CSCE_638_600_54988_v006.json"", ""202611_CSCE_638_600_54988_v006.json"")",CSCE 638,600,54988,2,600,100,949,542,ok,,2026-03-10T06:02:01.207715,ok
v006,202611_CSCE_670_600_46627_v006.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202611_CSCE_670_600_46627_v006.md"", ""202611_CSCE_670_600_46627_v006.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_CSCE_670_600_46627_v006.json"", ""202611_CSCE_670_600_46627_v006.json"")",CSCE 670,600,46627,3,600,100,1661,623,ok,,2026-03-10T06:02:01.441684,ok
v006,202541_CSCE_605_600_62077_v006.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202541_CSCE_605_600_62077_v006.md"", ""202541_CSCE_605_600_62077_v006.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202541_CSCE_605_600_62077_v006.json"", ""202541_CSCE_605_600_62077_v006.json"")",CSCE 605,600,62077,12,600,100,7179,692,ok,,2026-03-10T06:02:01.780486,ok
v006,202541_ISEN_620_601_52745_v006.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202541_ISEN_620_601_52745_v006.md"", ""202541_ISEN_620_601_52745_v006.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202541_ISEN_620_601_52745_v006.json"", ""202541_ISEN_620_601_52745_v006.json"")",ISEN 620,601,52745,9,600,100,5435,702,ok,,2026-03-10T06:02:02.008758,ok
v006,202611_ISEN_637_600_59851_v006.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202611_ISEN_637_600_59851_v006.md"", ""202611_ISEN_637_600_59851_v006.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_ISEN_637_600_59851_v006.json"", ""202611_ISEN_637_600_59851_v006.json"")",ISEN 637,600,59851,1,600,100,586,593,ok,,2026-03-10T06:02:02.280645,ok
v007,202611_ISEN_637_600_59851_v007.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202611_ISEN_637_600_59851_v007.md"", ""202611_ISEN_637_600_59851_v007.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_ISEN_637_600_59851_v007.json"", ""202611_ISEN_637_600_59851_v007.json"")",ISEN 637,600,59851,2,600,100,724,416,ok,,2026-03-10T06:41:43.124647,ok
v009,202541_CSCE_222_502_57920_v009.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202541_CSCE_222_502_57920_v009.md"", ""202541_CSCE_222_502_57920_v009.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202541_CSCE_222_502_57920_v009.json"", ""202541_CSCE_222_502_57920_v009.json"")",CSCE 222,502,57920,4,600,100,2207,641,ok,,2026-03-10T21:50:33.995196,ok
v009,202611_CSCE_120_521_54672_v009.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202611_CSCE_120_521_54672_v009.md"", ""202611_CSCE_120_521_54672_v009.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_CSCE_120_521_54672_v009.json"", ""202611_CSCE_120_521_54672_v009.json"")",CSCE 120,521,54672,7,600,100,3882,643,ok,,2026-03-10T21:52:27.278918,ok
v009,202611_ISEN_302_503_11195_v009.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202611_ISEN_302_503_11195_v009.md"", ""202611_ISEN_302_503_11195_v009.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_ISEN_302_503_11195_v009.json"", ""202611_ISEN_302_503_11195_v009.json"")",ISEN 302,503,11195,4,600,100,2251,636,ok,,2026-03-10T21:52:29.263866,ok
v009,202611_CSCE_410_500_42396_v009.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202611_CSCE_410_500_42396_v009.md"", ""202611_CSCE_410_500_42396_v009.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_CSCE_410_500_42396_v009.json"", ""202611_CSCE_410_500_42396_v009.json"")",CSCE 410,500,42396,3,600,100,1406,568,ok,,2026-03-10T21:52:31.229739,ok
v009,202611_CSCE_221_200_43689_v009.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step2_boilerplate/202611_CSCE_221_200_43689_v009.md"", ""202611_CSCE_221_200_43689_v009.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_CSCE_221_200_43689_v009.json"", ""202611_CSCE_221_200_43689_v009.json"")",CSCE 221,200,43689,3,600,100,1715,659,ok,,2026-03-10T21:52:33.224325,ok
v010,202611_CSCE_441_200_54770_v010.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202611_CSCE_441_200_54770_v010.md"", ""202611_CSCE_441_200_54770_v010.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_CSCE_441_200_54770_v010.json"", ""202611_CSCE_441_200_54770_v010.json"")",CSCE 441,200,54770,3,600,100,1351,528,ok,,2026-03-10T22:58:36.564018,ok
v010,202541_CSCE_708_600_57946_v010.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202541_CSCE_708_600_57946_v010.md"", ""202541_CSCE_708_600_57946_v010.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202541_CSCE_708_600_57946_v010.json"", ""202541_CSCE_708_600_57946_v010.json"")",CSCE 708,600,57946,4,600,100,2258,648,ok,,2026-03-10T23:01:37.742791,ok
v010,202611_CSCE_614_700_54779_v010.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202611_CSCE_614_700_54779_v010.md"", ""202611_CSCE_614_700_54779_v010.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_CSCE_614_700_54779_v010.json"", ""202611_CSCE_614_700_54779_v010.json"")",CSCE 614,700,54779,4,600,100,1991,584,ok,,2026-03-10T23:01:45.120149,ok
v010,202611_CSCE_436_500_58357_v010.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202611_CSCE_436_500_58357_v010.md"", ""202611_CSCE_436_500_58357_v010.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_CSCE_436_500_58357_v010.json"", ""202611_CSCE_436_500_58357_v010.json"")",CSCE 436,500,58357,9,600,100,5550,720,ok,,2026-03-10T23:01:55.037538,ok
v010,202611_CSCE_470_500_58365_v010.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202611_CSCE_470_500_58365_v010.md"", ""202611_CSCE_470_500_58365_v010.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_CSCE_470_500_58365_v010.json"", ""202611_CSCE_470_500_58365_v010.json"")",CSCE 470,500,58365,2,600,100,1103,612,ok,,2026-03-10T23:02:01.537368,ok
v010,202541_CSCE_605_600_62077_v010.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202541_CSCE_605_600_62077_v010.md"", ""202541_CSCE_605_600_62077_v010.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202541_CSCE_605_600_62077_v010.json"", ""202541_CSCE_605_600_62077_v010.json"")",CSCE 605,600,62077,10,600,100,6102,703,ok,,2026-03-11T00:45:36.274161,ok
v010,202611_CSCE_436_500_58357_v010.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202611_CSCE_436_500_58357_v010.md"", ""202611_CSCE_436_500_58357_v010.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_CSCE_436_500_58357_v010.json"", ""202611_CSCE_436_500_58357_v010.json"")",CSCE 436,500,58357,8,600,100,4898,706,ok,,2026-03-11T00:45:43.186578,ok
v010,202611_CSCE_638_600_54988_v010.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202611_CSCE_638_600_54988_v010.md"", ""202611_CSCE_638_600_54988_v010.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_CSCE_638_600_54988_v010.json"", ""202611_CSCE_638_600_54988_v010.json"")",CSCE 638,600,54988,2,600,100,856,494,ok,,2026-03-11T01:02:54.614775,ok
v010,202611_CSCE_313_504_12620_v010.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202611_CSCE_313_504_12620_v010.md"", ""202611_CSCE_313_504_12620_v010.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_CSCE_313_504_12620_v010.json"", ""202611_CSCE_313_504_12620_v010.json"")",CSCE 313,504,12620,4,600,100,2231,638,ok,,2026-03-11T01:03:02.965256,ok
v010,202611_CSCE_314_502_55143_v010.json,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step2_boilerplate/202611_CSCE_314_502_55143_v010.md"", ""202611_CSCE_314_502_55143_v010.md"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v3_step3_flat/202611_CSCE_314_502_55143_v010.json"", ""202611_CSCE_314_502_55143_v010.json"")",CSCE 314,502,55143,4,600,100,2449,698,ok,,2026-03-11T01:03:11.945225,ok
