version,file,source_pdf,output_file,body_font_size_pt,annotated_lines,plain_lines,output_tokens,page_count,status,error,processed_at
v006,202541_ISEN_620_601_52745_v006.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_ISEN_620_601_52745.pdf"", ""202541_ISEN_620_601_52745.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202541_ISEN_620_601_52745_v006.md"", ""202541_ISEN_620_601_52745_v006.md"")",10.5,285,237,6238,15,ok,,2026-03-10T05:58:16.873048
v006,202611_ISEN_637_600_59851_v006.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_ISEN_637_600_59851.pdf"", ""202611_ISEN_637_600_59851.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202611_ISEN_637_600_59851_v006.md"", ""202611_ISEN_637_600_59851_v006.md"")",11.0,30,221,3612,10,ok,,2026-03-10T05:58:17.263448
v007,202611_ISEN_637_600_59851_v007.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_ISEN_637_600_59851.pdf"", ""202611_ISEN_637_600_59851.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202611_ISEN_637_600_59851_v007.md"", ""202611_ISEN_637_600_59851_v007.md"")",11.0,30,221,3612,10,ok,,2026-03-10T06:41:39.351560
v008,202541_CSCE_222_502_57920_v008.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_222_502_57920.pdf"", ""202541_CSCE_222_502_57920.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202541_CSCE_222_502_57920_v008.md"", ""202541_CSCE_222_502_57920_v008.md"")",11.0,33,363,5099,13,ok,,2026-03-10T21:43:14.798855
v008,202611_CSCE_120_521_54672_v008.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_120_521_54672.pdf"", ""202611_CSCE_120_521_54672.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202611_CSCE_120_521_54672_v008.md"", ""202611_CSCE_120_521_54672_v008.md"")",11.0,56,560,7673,19,ok,,2026-03-10T21:43:35.949920
v008,202611_ISEN_302_503_11195_v008.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_ISEN_302_503_11195.pdf"", ""202611_ISEN_302_503_11195.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202611_ISEN_302_503_11195_v008.md"", ""202611_ISEN_302_503_11195_v008.md"")",11.0,63,268,5240,12,ok,,2026-03-10T21:43:43.597608
v008,202611_CSCE_410_500_42396_v008.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_410_500_42396.pdf"", ""202611_CSCE_410_500_42396.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202611_CSCE_410_500_42396_v008.md"", ""202611_CSCE_410_500_42396_v008.md"")",11.0,45,512,4442,14,ok,,2026-03-10T21:43:49.523082
v008,202611_CSCE_221_200_43689_v008.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_221_200_43689.pdf"", ""202611_CSCE_221_200_43689.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202611_CSCE_221_200_43689_v008.md"", ""202611_CSCE_221_200_43689_v008.md"")",11.0,32,391,4703,14,ok,,2026-03-10T21:43:55.618394
v009,202541_CSCE_222_502_57920_v009.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_222_502_57920.pdf"", ""202541_CSCE_222_502_57920.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202541_CSCE_222_502_57920_v009.md"", ""202541_CSCE_222_502_57920_v009.md"")",11.0,33,363,5099,13,ok,,2026-03-10T21:50:33.241369
v009,202611_CSCE_120_521_54672_v009.md,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_120_521_54672.pdf"", ""202611_CSCE_120_521_54672.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/v2_step1_markdown/202611_CSCE_120_521_54672_v009.md"", ""202611_CSCE_120_521_54672_v009.md"")",11.0,56,560,7673,19,ok,,2026-03-10T21:52:26.635042
